NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_SS
0,0,0,0,0,1,6,1,0,2,0,3,1,0,0,1,1,0,0,0,0,30,0,0,27,27,27,14,0,0,13,11,0,0,9,0,15,9,0,9,9,6,21,0,2,1,0
0,0,0,0,0,1,7,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
1,6,6,4,9,4,46,5,0,16,0,35,0.3,7,9,3,3,17,0,0.411765,0,12,1,0,12,13,12,7,0,1,79,10,3,0,0,0,92,2,0,0,2,90,61,0,7,0,1
0,7,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,31,25,0,0,0,0
2,7,1,1,7,3,17,4,0,2,0,5,0.666667,3,4,2,2,4,0,0.75,0,8,0,0,2,2,2,8,0,0,41,4,0,0,36,0,9,3,0,36,3,6,42,0,1,0,1
2,0,0,0,0,2,10,2,0,3,0,3,0,1,1,0,3,1,0,1,0,7,0,1,1,1,1,7,0,0,56,49,38,0,0,0,143,4,0,0,4,139,142,0,1,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,11,14,0,5,5,5,20,0,0,29,7,4,0,0,0,40,0,0,0,0,40,25,0,1,0,0
2,9,0,0,17,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,4,0,0
0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,8,20,0,9,9,9,27,0,0,49,2,3,0,0,0,54,0,0,0,0,54,25,0,2,0,0
0,7,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,33,24,0,0,0,0
1,0,1,1,0,1,4,1,0,1,0,6,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0
3,11,0,0,11,2,5,2,0,3,0,4,1,0,0,1,0,0,0,0,0,2,4,0,8,9,8,2,0,1,38,0,17,0,0,1,54,2,0,0,2,53,53,0,0,0,0
1,1,2,2,1,1,10,2,0,3,0,6,0.333333,4,3,1,0,4,0,1,0,4,0,28,10,9,9,30,1,0,57,1,0,9,0,0,67,6,0,0,6,61,34,0,2,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,11,0,0,27,0,0,0,0,0,27,0,0,0,0,27,4,1,0,0,0
1,2,0,0,6,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,5,4,0,1,0,0
1,7,3,2,7,2,25,3,0,5,0,9,0,4,4,0,3,6,0,0.666667,0,13,0,0,14,22,14,0,0,8,14,3,0,0,0,0,17,16,0,0,16,1,16,0,1,1,1
1,10,0,0,27,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,11,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,4,19,0,0,0,0,23,22,0,1,0,0
1,6,197,56,13,3,511,178,1,40,2,263,0.112613,61,11,25,5,100,2,0.61,0,2,0,0,22,25,22,2,0,3,21,0,0,0,0,0,21,3,0,0,3,18,19,1,0,0,1
0,8,0,0,14,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,4,5,4,5,0,1,34,0,2,0,3,0,33,2,0,3,2,31,24,0,4,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,11,0,0,27,1,4,0,0,0,32,0,0,0,0,32,9,0,4,0,0
1,8,2,2,8,3,26,7,1,2,2,4,0,5,6,0,3,8,2,0.625,0,3,3,0,22,22,22,3,0,0,97,7,19,4,22,0,105,4,0,22,4,101,105,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,4,0,0,0,0,0,4,1,0,0,1,3,3,1,0,0,0
0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,11,0,0,0,0,11,10,0,0,0,0
1,8,0,0,18,1,3,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,17,2,0,0,1,0,18,0,0,1,0,18,14,0,4,0,0
0,9,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,3,0,1,8,1,2,0,0,0,11,1,0,0,1,10,10,0,1,1,0
1,10,0,0,12,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,48,0,5,21,18,18,35,3,0,99,5,3,1,1,0,107,4,0,1,4,103,39,0,5,0,0
1,7,0,0,12,4,34,6,0,3,0,8,1,3,3,4,1,4,0,0.75,1,1,7,0,1,1,1,7,0,0,19,0,1,0,0,0,20,5,0,0,5,15,14,0,4,0,1
2,10,1,1,11,3,17,4,0,4,0,6,0.5,3,3,1,0,3,0,1,0,0,1,1,8,9,8,0,0,1,35,0,0,0,0,0,35,35,0,0,35,0,35,0,0,1,1
0,9,0,0,18,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,10,0,0,6,5,5,8,1,0,27,1,1,0,0,0,29,0,0,0,0,29,17,0,5,0,0
2,13,1,1,24,3,42,9,0,4,0,10,0.833333,3,4,5,4,5,0,0.6,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,1
1,4,0,0,4,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0
4,0,2,1,0,1,5,1,0,4,0,6,0,2,1,0,0,3,0,0.666667,0,2,0,0,0,0,0,2,0,0,11,6,0,0,0,0,17,1,0,0,1,16,13,0,2,0,0
3,9,7,1,9,2,19,2,0,4,0,18,0,3,8,0,1,15,0,0.2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,2,1,2,0,1,1,1
2,6,5,2,6,4,39,12,0,5,0,19,0.545455,4,8,6,2,11,0,0.363636,0,56,0,0,9,9,9,61,0,0,142,3,0,0,0,0,145,0,0,0,0,145,98,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
0,6,9,7,8,5,32,6,3,7,2,18,0.5,7,4,5,0,10,2,0.7,0,6,2,0,1,1,1,7,0,0,137,40,11,2,0,0,190,2,0,0,2,188,154,0,2,0,1
1,0,0,0,0,2,8,2,0,3,0,4,1,0,1,1,1,0,0,0,0,3,0,0,1,1,1,2,0,0,21,0,0,0,0,0,21,2,0,0,2,19,13,0,6,0,0
1,9,0,0,19,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,35,0,0,0,0,35,0,0,0,0,0,35,35,0,0,0,0
1,11,0,0,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,35,0,0,0,0,35,0,0,0,0,0,35,35,0,0,0,0
3,25,2,2,26,1,6,1,0,4,0,6,0.5,4,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,113,0,6,0,5,0,114,2,0,5,2,112,118,0,1,0,1
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,17,0,0,17,17,17,17,0,0,34,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0
1,7,7,5,7,4,67,17,0,9,0,17,0.125,7,6,1,4,11,0,0.636364,0,179,0,0,26,3,1,153,25,2,380,25,0,54,0,0,459,12,0,0,12,447,230,0,1,0,1
2,7,1,1,7,4,89,11,0,4,0,10,0.666667,4,4,2,0,5,0,0.8,0,20,0,0,0,1,0,19,0,1,8,2,0,0,0,0,10,0,0,0,0,10,3,0,2,0,1
4,6,3,2,7,3,53,11,0,11,0,16,0.571429,4,3,4,1,4,0,1,0,1,0,18,12,5,5,7,7,0,17,2,0,2,0,0,21,1,0,0,1,20,19,0,1,1,1
1,11,0,0,12,4,24,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,10,9,0,0,9,1,9,0,1,1,0
0,0,0,0,0,1,28,1,0,2,0,7,1,1,1,5,0,1,0,1,0,6,0,0,1,1,1,5,0,0,6,5,1,0,0,0,12,0,0,0,0,12,10,0,1,0,0
0,6,0,0,16,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,21,0,0,2,2,2,21,0,0,43,0,0,0,0,0,43,0,0,0,0,43,0,1,0,0,0
1,0,0,0,0,3,28,6,0,8,0,8,0,1,3,0,5,3,0,0.333333,0,2,0,0,0,0,0,2,0,0,5,1,3,0,0,0,9,4,0,0,4,5,6,0,2,1,0
0,1,1,1,1,1,1,1,0,0,0,2,0.5,1,0,1,0,1,0,1,0,11,0,0,1,1,1,11,0,0,41,1,4,0,4,0,42,0,0,4,0,42,30,0,1,0,0
1,7,0,0,12,1,4,1,0,1,0,3,1,2,2,2,0,2,0,1,0,46,94,0,12,12,12,160,0,0,664,1,9,0,0,32,642,3,0,0,3,671,460,0,1,0,0
0,0,15,11,0,5,169,47,7,26,3,48,0.125,14,13,2,2,27,2,0.518519,0,0,24,0,1,10,1,14,0,9,31,6,9,0,0,6,40,0,0,0,0,46,41,0,1,0,0
2,1,0,0,1,1,4,1,0,2,0,3,0,2,1,0,1,2,0,1,0,8,0,0,8,1,1,1,7,0,28,5,4,0,0,0,37,4,0,0,4,33,31,0,2,0,0
0,0,0,0,0,2,12,2,0,3,0,2,0,1,2,0,0,2,0,0.5,0,4,0,0,0,0,0,4,0,0,27,0,1,0,0,0,28,1,0,0,1,27,27,0,1,0,0
1,6,0,0,13,1,6,1,0,2,0,5,1,0,0,3,0,0,0,0,0,2,0,0,12,12,12,1,0,0,18,0,0,0,0,0,18,0,0,0,0,18,0,1,0,0,0
2,10,2,1,11,1,3,2,0,2,0,7,0.6,0,0,3,0,0,0,0,0,0,0,20,11,11,11,9,0,0,3,1,0,3,2,0,5,1,1,1,0,5,6,0,1,1,0
2,15,5,1,15,4,26,4,0,6,0,10,0,3,7,0,0,7,0,0.428571,0,6,0,0,1,2,1,5,0,1,11,7,0,0,0,0,18,3,0,0,3,15,16,0,1,0,1
2,0,1,1,0,2,27,3,0,11,0,11,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,34,33,0,0,33,1,33,0,1,1,0
0,10,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,12,0,4,0,5,3,8,0,0,5,0,11,10,0,1,0,0
0,0,0,0,0,1,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,31,0,3,3,3,29,0,0,50,2,23,0,0,0,75,0,0,0,0,75,41,1,0,0,0
1,10,0,0,16,1,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,10,8,8,0,2,0,7,1,0,0,1,0,7,4,0,1,4,3,5,0,1,1,0
0,7,0,0,21,1,3,1,0,0,0,0,0,1,1,0,1,1,0,1,0,4,0,0,1,1,1,3,0,0,10,2,0,0,0,0,12,0,0,0,0,12,8,0,2,0,0
2,5,0,0,8,4,22,6,0,6,0,7,0,4,9,0,0,10,0,0.4,0,4,4,0,0,0,0,8,0,0,30,0,14,0,0,0,44,0,0,0,0,44,38,0,1,0,1
1,8,1,1,12,2,9,6,0,2,0,5,0.666667,3,5,2,0,6,0,0.5,0,0,0,0,1,1,1,0,0,0,80,8,6,1,2,0,93,6,0,2,6,87,91,0,4,0,1
0,10,0,0,14,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,12,0,0,4,5,4,11,0,1,34,2,0,0,0,0,36,2,0,0,2,34,23,0,1,0,0
0,8,0,0,14,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,10,8,1,11,9,8,15,3,1,71,24,0,1,0,0,96,20,0,0,20,76,59,0,2,0,0
3,6,0,0,11,2,14,3,0,3,0,6,1,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,8,0,0,0,0,0,8,0,0,0,0,8,3,0,2,0,0
2,6,1,1,9,2,20,11,0,6,0,8,0,3,6,0,0,8,0,0.375,0,1,0,0,0,0,0,1,0,0,9,7,0,7,0,0,23,0,0,0,0,23,18,0,2,0,1
1,0,0,0,0,3,46,8,0,6,0,7,1,1,1,1,2,1,0,1,0,0,0,2,0,0,0,2,0,0,26,0,0,0,0,0,26,0,0,0,0,26,23,0,2,0,0
0,7,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,13,0,0,1,2,1,11,0,1,24,1,0,1,0,0,26,0,0,0,0,26,2,0,2,0,0
1,11,0,0,11,1,4,1,0,2,0,15,1,0,0,2,1,0,0,0,0,1,59,0,23,24,23,59,0,1,188,2,4,0,0,0,194,3,0,0,3,191,107,0,6,0,0
1,4,0,0,4,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,19,0,0,0,0,0,19,0,0,0,0,19,5,1,0,0,0
0,11,0,0,11,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,9,0,0,3,3,3,9,0,0,18,1,0,0,2,0,17,0,0,2,0,17,7,0,1,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0
0,0,3,3,0,6,25,2,0,3,0,9,0,5,5,0,0,6,0,0.833333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,60,3,2,77,4,24,17,0,2,0,14,0.75,3,3,9,7,3,0,1,0,56,0,0,9,9,9,61,0,0,142,3,0,0,0,0,145,0,0,0,0,145,98,0,1,0,1
2,0,0,0,0,2,11,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
6,13,1,1,13,2,16,4,0,8,0,10,0.5,4,4,1,1,4,0,1,0,1,0,0,0,0,0,1,0,0,8,0,1,0,0,0,9,3,0,0,3,6,9,0,0,0,1
1,7,0,0,12,2,8,2,0,3,0,3,0,1,1,0,3,1,0,1,0,2,1,0,3,2,2,0,1,0,57,3,7,0,0,0,67,0,0,0,0,67,53,0,5,0,0
0,9,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,10,0,0,2,2,2,9,0,0,53,3,0,0,1,0,55,7,1,0,6,49,40,0,2,0,0
1,6,14,7,12,4,80,18,0,3,0,24,0.333333,5,15,7,0,17,0,0.294118,0,0,0,26,2,2,2,25,0,0,9,9,0,14,1,3,28,0,0,1,0,31,27,0,1,0,1
1,7,2,1,7,4,25,4,0,4,0,7,0.5,3,2,2,0,4,0,0.75,0,43,0,0,18,19,18,40,0,1,96,3,3,0,3,0,99,4,0,3,4,95,65,0,2,0,1
1,6,1,1,6,3,23,5,0,5,0,8,0,3,4,0,2,4,0,0.75,0,1,0,0,1,1,1,0,0,0,93,5,0,0,0,0,98,97,0,0,97,1,97,0,1,1,1
5,8,0,0,8,3,52,9,0,12,0,11,0,3,10,0,3,10,0,0.3,0,20,0,0,11,11,11,19,0,0,60,2,10,0,0,3,69,0,0,0,0,72,41,0,1,0,1
1,1,0,0,1,1,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,4,0,0,1,1,1,4,0,0,18,1,4,0,0,0,23,0,0,0,0,23,11,0,2,0,0
2,10,5,4,12,4,97,18,0,12,0,20,0.375,7,8,3,4,11,0,0.636364,0,6,2,0,5,5,5,5,0,0,8,2,5,0,11,0,4,0,0,11,0,4,13,0,1,0,1
1,5,5,4,6,2,19,4,1,3,2,12,0.428571,5,4,3,2,8,2,0.625,0,4,2,0,2,2,2,5,0,0,36,0,4,0,2,7,31,0,0,2,0,38,24,0,5,0,1
1,0,0,0,0,2,3,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,5,0,0,10,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,1,0,0
0,0,5,1,0,5,52,10,0,5,0,14,0.444444,2,3,4,0,8,0,0.25,0,3,1,0,0,0,0,4,0,0,8,0,3,0,0,0,11,0,0,0,0,11,7,0,1,0,0
1,5,1,1,11,1,5,1,0,2,0,3,1,3,2,1,0,3,0,1,0,0,0,0,1,1,1,0,0,0,15,0,0,0,0,0,15,1,0,0,1,14,13,0,2,0,1
2,6,0,0,25,2,7,2,0,2,0,2,0,1,1,0,1,1,0,1,0,6,2,0,9,6,6,3,3,0,41,0,11,0,0,0,52,3,0,0,3,49,50,0,1,0,0
1,0,0,0,0,1,5,1,0,1,0,4,1,0,0,3,0,0,0,0,0,0,0,10,6,6,6,10,0,0,43,1,0,0,0,0,44,0,0,0,0,44,27,0,1,0,0
3,6,0,0,6,1,15,1,0,6,0,8,0,3,3,0,1,4,0,0.75,0,28,0,4,2,6,2,59,0,4,65,7,0,2,0,0,74,6,0,0,6,68,41,0,1,1,1
1,7,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,31,29,0,0,0,0
1,2,0,0,2,1,4,1,0,1,0,3,1,1,1,2,0,1,0,1,0,16,0,0,5,5,5,12,0,0,34,0,1,0,0,0,35,0,0,0,0,35,8,0,2,0,0
2,6,1,1,38,5,61,14,0,7,0,15,0.888889,4,7,8,0,8,0,0.5,0,12,1,2,4,1,1,11,3,0,32,1,1,0,0,0,34,0,0,0,0,34,20,0,4,0,1
1,6,0,0,25,2,10,3,0,1,0,3,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,4,0,0,29,0,1,0,0,0,30,10,0,0,10,20,27,0,1,0,0
0,7,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,6,0,0,17,1,8,2,0,2,0,3,1,1,1,1,0,1,0,1,0,27,1,0,8,8,8,20,0,0,19,15,0,0,0,0,34,0,0,0,0,34,24,0,1,0,0
0,9,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,8,0,0,0,0,1,7,0,0,0,0,8,3,0,1,0,0
0,0,0,0,0,1,6,1,0,1,0,3,1,1,1,2,1,1,0,1,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,1,0,0,1,4,3,0,2,0,0
4,1,8,3,1,7,251,66,0,29,0,55,0.4,6,5,8,3,15,0,0.4,0,23,39,0,37,33,30,25,7,3,36,8,3,5,3,0,49,9,1,2,8,41,41,0,2,0,0
0,7,0,0,15,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,3,1,0,20,1,0,0,0,0,21,1,0,0,1,20,10,0,1,0,0
4,7,3,2,7,2,17,8,3,4,2,6,0,4,2,0,0,4,2,1,0,4,0,0,45,47,45,0,0,2,96,8,0,1,0,0,105,105,0,0,105,0,105,0,0,1,1
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,9,0,1,0,0
1,16,0,0,44,4,70,11,0,6,0,7,1,5,8,1,4,8,0,0.625,0,2,0,0,0,2,0,0,0,2,1,5,0,0,0,0,6,5,0,0,5,1,5,0,1,1,1
0,9,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,39,0,0,0,0,39,0,0,0,0,0,39,21,0,0,0,0
2,1,0,0,1,2,15,5,0,2,0,6,1,0,0,4,0,0,0,0,1,4,0,0,3,0,0,1,3,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0
1,6,0,0,11,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,15,25,0,18,14,14,22,4,0,46,3,4,0,0,0,53,1,0,0,1,52,42,0,1,0,0
1,1,0,0,1,1,4,1,0,1,0,3,1,1,1,2,0,1,0,1,0,4,14,0,3,6,3,15,0,3,48,0,0,0,3,0,45,3,3,0,0,45,41,0,3,0,0
1,6,0,0,6,2,15,2,0,1,0,5,1,3,4,4,0,4,0,0.75,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1
1,6,0,0,12,2,7,2,0,2,0,3,1,0,0,1,0,0,0,0,0,5,0,0,4,1,1,1,3,0,21,1,0,1,3,0,20,1,0,3,1,19,19,0,3,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,2,0,0,0,0,0,2,0,0,20,1,0,0,0,0,21,0,0,0,0,21,14,0,2,0,0
0,14,0,0,54,5,31,5,0,3,0,10,0.833333,3,4,5,3,5,0,0.6,0,11,0,0,0,2,0,9,0,2,9,5,0,0,0,0,14,2,0,0,2,12,13,0,1,0,1
3,9,2,2,10,3,13,4,0,5,0,6,0,4,2,0,0,4,0,1,0,2,5,0,0,0,0,7,0,0,12,0,1,0,2,1,10,1,0,2,1,10,10,0,0,1,1
4,1,0,0,1,2,10,2,0,4,0,5,1,1,1,1,0,1,0,1,0,3,0,0,2,2,2,2,0,0,8,0,1,0,0,0,9,0,0,0,0,9,6,0,3,0,0
0,0,0,0,0,3,14,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,1,0,2,0,0
1,6,0,0,8,3,31,7,0,8,0,10,1,3,8,1,2,9,0,0.333333,0,1,2,0,1,1,1,2,0,0,19,0,0,0,8,6,5,0,0,8,0,11,19,0,0,0,1
2,8,1,1,16,1,6,1,0,3,0,6,1,2,2,1,0,4,0,0.5,1,3,1,1,0,0,0,5,0,0,5,0,2,1,0,0,8,0,0,0,0,8,6,0,1,0,0
1,0,2,2,0,3,11,3,0,2,0,4,0,0,0,0,4,0,0,0,0,14,0,0,0,7,0,7,0,7,11,21,0,6,0,0,38,0,0,0,0,38,35,0,1,0,0
1,7,1,1,11,2,5,3,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,5,40,40,40,0,0,0,1,0,2,1,3,1,0,2,2,1,0,1,4,0,0,1,0
1,12,2,2,12,4,31,10,0,10,0,13,0.5,7,7,2,2,9,0,0.777778,0,233,4,19,155,15,12,108,143,3,104,136,2,54,0,0,296,12,0,0,12,284,272,0,1,0,1
0,10,0,0,12,1,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,3,8,0,1,2,1,10,0,1,11,0,2,0,0,0,13,1,0,0,1,12,8,0,1,0,0
0,6,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,8,8,0,0,0,0
4,10,2,2,10,3,24,12,0,7,0,12,0.6,3,1,3,3,3,0,1,0,0,28,0,0,0,0,28,0,0,115,3,21,0,0,0,139,2,0,0,2,137,97,0,4,0,1
4,8,10,4,10,4,88,17,0,8,0,22,0.285714,5,6,4,3,7,0,0.714286,0,1,5,18,13,13,13,15,0,0,23,0,1,57,0,0,81,7,0,0,7,74,64,0,3,0,1
0,2,0,0,2,1,3,1,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,3,3,3,2,0,0,8,0,0,0,0,0,8,0,0,0,0,8,5,0,1,0,0
1,6,22,5,7,3,134,29,0,15,0,71,0.163636,13,31,9,1,38,0,0.342105,0,17,10,11,14,3,3,24,11,0,59,1,4,8,1,0,71,3,0,1,3,68,51,0,1,0,1
2,1,0,0,1,1,4,1,0,2,0,2,0,1,1,0,1,1,0,1,0,2,0,0,1,1,1,1,0,0,70,4,0,0,0,0,74,0,0,0,0,74,71,0,1,0,0
1,11,0,0,11,3,19,5,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0,6,59,0,0,0,2,0,57,59,2,0,57,0,59,0,0,1,0
0,1,1,1,1,1,6,1,0,1,0,2,0,2,2,0,0,2,0,1,0,0,3,0,0,0,0,3,0,0,9,1,6,0,0,0,16,0,0,0,0,16,12,0,2,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,0
2,6,0,0,6,2,9,3,0,2,0,3,1,3,4,1,1,4,0,0.75,0,5,0,0,4,4,4,1,0,0,8,1,4,0,2,0,11,0,0,2,0,11,10,0,2,0,1
1,0,0,0,0,1,3,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
1,0,0,0,0,2,35,4,0,5,0,8,1,4,6,1,0,6,0,0.666667,0,72,2,9,15,19,14,64,1,5,76,29,5,8,5,0,113,0,0,5,0,113,101,0,1,0,0
4,1,0,0,1,1,4,1,0,4,0,4,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0
3,0,0,0,0,3,45,2,0,7,0,15,1,5,10,6,2,12,0,0.416667,0,5,1,0,0,0,0,6,0,0,10,1,7,0,0,0,18,0,0,0,0,18,12,0,1,0,0
2,0,1,1,0,1,9,1,0,2,0,5,0.666667,2,2,2,0,3,0,0.666667,0,2,0,0,0,0,0,2,0,0,5,0,1,0,0,0,6,0,0,0,0,6,4,0,2,0,0
2,5,0,0,16,2,8,2,0,3,0,4,1,3,3,1,0,3,0,1,0,2,0,2,7,7,7,0,0,0,15,0,0,0,0,0,15,5,0,0,5,10,11,0,3,0,1
